2019-09-29 18:28:36.40: SIM {TimeUS : 49028714, Roll : -0.01, Pitch : -0.08, Yaw : 170.04, Alt : 98.3899993896, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0867988467216, Q2 : 0.000763768795878, Q3 : -0.000173686261405, Q4 : 0.99622553587}
2019-09-29 18:28:36.50: SIM {TimeUS : 49128674, Roll : 0.04, Pitch : -0.1, Yaw : 170.03, Alt : 98.6200027466, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0868140086532, Q2 : 0.000981741701253, Q3 : 0.000304744695313, Q4 : 0.996224045753}
2019-09-29 18:28:36.59: SIM {TimeUS : 49228634, Roll : 0.08, Pitch : -0.09, Yaw : 170.03, Alt : 98.8600006104, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0868148505688, Q2 : 0.000882326974533, Q3 : 0.000668028777, Q4 : 0.99622386694}
2019-09-29 18:28:36.69: SIM {TimeUS : 49328594, Roll : 0.1, Pitch : -0.06, Yaw : 170.03, Alt : 99.0899963379, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0868112370372, Q2 : 0.000627901637927, Q3 : 0.000842739245854, Q4 : 0.996224224567}
2019-09-29 18:28:36.79: SIM {TimeUS : 49428554, Roll : 0.07, Pitch : -0.03, Yaw : 170.03, Alt : 99.3199996948, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.086824528873, Q2 : 0.000361815938959, Q3 : 0.000662729027681, Q4 : 0.996223330498}
2019-09-29 18:28:36.89: SIM {TimeUS : 49528514, Roll : 0.03, Pitch : -0.02, Yaw : 170.03, Alt : 99.5599975586, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0868415683508, Q2 : 0.000219114852371, Q3 : 0.000300887681078, Q4 : 0.9962220788}
2019-09-29 18:28:36.99: SIM {TimeUS : 49628474, Roll : 0.0, Pitch : -0.03, Yaw : 170.03, Alt : 99.7900009155, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0868597254157, Q2 : 0.00034160685027, Q3 : -2.18091427087e-05, Q4 : 0.996220529079}
2019-09-29 18:28:37.09: SIM {TimeUS : 49728434, Roll : -0.02, Pitch : -0.05, Yaw : 170.03, Alt : 100.029998779, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0868831723928, Q2 : 0.000469265680294, Q3 : -0.000268633797532, Q4 : 0.996218383312}
2019-09-29 18:28:37.19: SIM {TimeUS : 49828394, Roll : -0.05, Pitch : -0.02, Yaw : 170.02, Alt : 100.260002136, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0869182869792, Q2 : 0.000176339613972, Q3 : -0.000472233339678, Q4 : 0.996215343475}
2019-09-29 18:28:37.29: SIM {TimeUS : 49928354, Roll : -0.07, Pitch : 0.04, Yaw : 170.02, Alt : 100.5, Lat : 69.7758384, Lng : 19.5489305, Q1 : 0.0869380384684, Q2 : -0.000478592381114, Q3 : -0.000612717529293, Q4 : 0.996213436127}
